pws_id,median_income
3010002,101544.029720824
3010003,70818.7856240221
3010004,82966.282906928
3010010,82454.1066943879
3010017,117231.208215965
3010018,76780.0579342754
3010022,90702.2433304092
3010023,157413.680277482
3010027,93870.0922876696
3010030,103072.740439282
3010035,90589.7260927224
3010036,107118.776024882
3010037,121988.370158219
3010038,62197.089656889
3010041,64758.9946097427
3010042,119191.7314513
3010046,97473.6028860276
3010047,145276.348480984
3010053,94571.1485321054
3010062,66808.0560699383
3010064,60491.7207387453
3010068,137482.938655706
3010069,90550.9556296802
3010073,114478.904417368
3010079,69249.1939929068
3010092,117037.956288151
3010094,118550.541060107
3010100,118307.506255476
3010101,141383.254093289
310002,70180.8341240054
310003,59695.8325351534
310012,59078.4079740049
310019,66167
310021,69978.8271205376
3110001,56115.0329675114
3110004,89663.1218362279
3110005,70947.8708368776
3110006,56670.8689983268
3110008,83738.4339680462
3110010,75415.7320666334
3110011,60529.45646158
3110013,76459.0240852215
3110023,63958
3110024,61250
3110025,101432.340334649
3110026,56174.3708279539
3110036,70391.6953232439
3110043,60521
3110044,80859
3110050,64456.1462284789
3110124,61250
3110150,115092.254369948
3310001,46523.1644757417
3310002,67754.5165023492
3310005,49343.7706823212
3310006,46301.291992303
3310007,36307.566972007
3310008,35617.738761751
3310009,70504.0534726089
3310012,66719.2605280167
3310016,32371.8485274101
3310020,55957.0125265992
3310021,83184.4227481551
3310022,50730.196172802
3310025,93710.9720286801
3310031,67346.8659401895
3310032,40121.5934950554
3310037,81770.8594312894
3310038,95854.4166536881
3310044,59518.741495692
3310048,47700.9165518865
3310049,80958.0985352163
3310051,64171.9852842709
3310052,53500.0657366843
3400101,55456
3400106,55456
3400156,29872
3400173,24673.1453281212
3400473,103958
3410001,54378.3269812647
3410002,111072.906039151
3410003,51984.8968932044
3410004,64478.8314751775
3410006,63112.3779744842
3410008,101488.124034661
3410009,78250.7348627494
3410010,52815.8666193349
3410011,71002.7092408672
3410012,45151.283642216
3410013,57398.1936605942
3410014,116407.270043318
3410015,77003.480518815
3410017,51676.9002667138
3410018,57377.303536656
3410020,55794.686272556
3410021,114719.37887593
3410023,31659.3255855654
3410027,116019
3410029,88653.3584523986
3410030,86668.4119842797
3410031,68340.1676248234
3410034,52803.4382628769
3410045,31881.6581863638
3410047,55456
3410704,96100.2594296463
3510001,77676.6524051573
3510003,93379.3507321408
3600010,59091
3600270,48345.9367857276
3600279,43866
3600283,61080
3600395,46574
3610001,21679.1852138358
3610003,56992.5632302968
3610004,74555.3909944596
3610005,74249.5535840232
3610008,48652.8701504338
3610012,91908.5920390298
3610013,69165.7903287636
3610014,54306.0740447997
3610015,57349.8293007898
3610018,92626.1505106495
3610022,46574
3610024,58102.9961972155
3610025,37642.525503436
3610029,60032.3622034132
3610034,68983.9749154691
3610036,107204.443678324
3610037,73158.0633475733
3610038,53477.2425014326
3610039,49859.1352900574
3610041,66445.9860881438
3610043,43227.4491739901
3610044,51120.6765088189
3610045,56775.8309527657
3610047,77188
3610049,41378.5962584761
3610050,85301.3748865935
3610052,49374.5278997737
3610055,76772.4190470197
3610057,67634.8093465107
3610063,49625
3610064,68464.8388144586
3610073,38470.7221490088
3610105,54292.8931647232
3610107,39342.1100606726
3610108,33433.4311511136
3610118,72832
3610120,48785.3100553258
3610121,70089.2237193637
3610125,78504.928817798
3710001,71149.6890502786
3710002,80946.8435679223
3710005,103284.147873155
3710006,84458.8021041811
3710008,78145.0150876695
3710010,70084.353156862
3710013,84135.4735056201
3710014,70643.1184807246
3710015,113377.965543273
3710016,77502.6038336837
3710018,78106.2926780907
3710019,99044.5266751037
3710020,91633.7657222765
3710021,95849.9114609352
3710023,114984.090836578
3710025,61768.2317067638
3710026,84863.0705812602
3710027,68392.7649444041
3710029,125148.035275919
3710034,108080.846515408
3710037,86167.0603062708
3710042,98487.2995728717
3810011,107648.43580005
3910001,40723.125256702
3910004,55175.5325685798
3910005,73844.3373911817
3910006,57499.9972842826
3910011,93793.3901946771
3910015,85992.868067087
3910027,112460.93233048
4010001,84085.3472870695
4010002,78281.2309872652
4010007,72008.6372480699
4010008,77617.7596352248
4010009,54818.3786874215
4010011,65088.9405804618
4010014,63792.8338283052
4010017,74227.037062327
4010018,73691.8423654485
4010023,101554.959809424
4010026,76009.9197661216
4010040,82115
410002,54408.2617814672
410005,34016.9771170055
410006,44584.9346162148
410007,47418.1813441955
410011,49379.5724579865
410012,45859
4110001,131835.078013016
4110003,129838.183403947
4110006,149987.940257942
4110007,157343.795104108
4110008,125597.96411364
4110009,90029.8987304892
4110011,118537.637423231
4110013,93005.6902066371
4110016,238204.031868258
4110017,114090.54954362
4110018,114066.62168843
4110021,135290.452066603
4110022,112103.904293174
4110023,100754.691094056
4110025,110673.017265068
4110027,113251.484428683
4200560,86875
4210001,77351.5426309672
4210004,100656.404474958
4210006,61713.520515528
4210007,127563.840609825
4210010,95584.560556489
4210011,62190.5382431265
4210016,84923.4380623726
4210021,68438
4210022,86875
4310001,180353.976878875
4310004,98056.4798907395
4310005,115221.264496507
4310006,115164.141624783
4310007,113335.520352978
4310009,149263.561154037
4310011,119824.755640724
4310012,103036.77437788
4310014,122156.994991974
4310018,162461.816229006
4310019,94429.4700423595
4310020,136935.885279302
4310022,119727.891659028
4410010,78628.2419614821
4410011,68252.6415342974
4410013,103610.232572221
4410014,92730.8356005697
4410017,91378.7109424979
4510001,37528.7796574422
4510005,52451.8332285289
4510006,48378.4540981705
4510014,59822.9258408714
4710011,36025.492338621
4810001,93205.2235507848
4810002,71879.0945447884
4810003,97426.717472909
4810004,62876.9745081038
4810005,72125.5325022013
4810007,76412.355618958
4810008,78340.3043303685
4810021,78139.7195947808
4900514,59107
4900546,67907
4900785,71723.612221443
4910002,66636.4499383908
4910004,53340.5481099859
4910005,82124.7590795716
4910006,88222.5422912028
4910009,77860.4156302278
4910012,81204.3671121118
4910013,74165.182412472
4910014,67568.8951118754
4910017,82874.2066377301
4910018,51583
4910020,98391.8634296636
4910023,74420.8459398547
4910024,81029
4910028,51056.8248126977
5010010,52504.3997921995
5010013,52675.2492651653
5010014,60531.0045159133
5010017,62659.1041033255
5010018,67554.494441976
5010019,52114.0391335011
5010023,46341
5010028,51516.5370322561
5010029,73659
5010031,70248.9401968844
5010033,66016
5010034,57797.4474794496
5010035,31115
510004,43981
510005,34044.7572229767
510006,69078.9989541407
510016,58936.0340576563
510017,72292
510019,79320.1652322615
5110002,56899.2878177383
5400935,38750
5410002,45627.552419281
5410003,45262.8023785402
5410010,40752.5501721816
5410016,63652.2532042993
5410041,81581
5500363,49148.6358161621
5510001,49027.7263491115
5510002,67465.7554128661
5510003,68167
5510009,48827
5510012,53571.3180692086
5510013,46056.198201524
5510015,53540.9317576742
5510021,52354
5510025,71939
5510028,71384.2065466323
5510033,71795.9181514329
5602140,90667
5610007,63050.4557114483
5610009,67906.0187874033
5610010,52642.0939529147
5610011,62262.3845714537
5610014,73736.6668585739
5610016,127451.026912926
5610017,75174.2870955566
5610018,106970.327215764
5610019,96043.7659709218
5610020,119773.422440674
5610023,114118.016777392
5610024,70667.8856053379
5610040,118640.037185183
5610043,138102.812216921
5610059,103125.293540039
5610063,151035.438633959
5610080,53319.651600261
5610081,120060.44923503
5700712,49558.1465522784
5710001,75503.1959906794
5710003,42778.9453916938
5710006,78040.5056122809
5805001,79771.0105808058
5810001,43823.4966918495
5810002,40253.7635210451
5810003,52218.4372544016
5810005,57083
710001,82595.0453260011
710002,52076.0900320054
710003,104012.857157028
710004,102331.119533608
710006,101490.527274235
710007,87384.0287517456
710008,69603.2193839597
710009,115302.580734929
810001,44338.2772042103
810003,33909.0635449016
910001,79396.864133373
910002,66424.6137710285
910013,67795.8193595641
910017,60163.8386863345
910018,52819
